utterance,encoded_intent,labels
changing details on standard account,9,"[0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0]"
edit details on platinum account,9,"[0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0]"
modifying information on free account,9,"[0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0]"
edit free account,9,"[0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0]"
modifying data on Freemium accout,9,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1]"
correcting info on standard account,9,"[1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0]"
modifying standard account,9,"[0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0]"
editing information on premium account,9,"[0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0]"
edit info o Platinum account,9,"[1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 1]"
update data on gold account,9,"[0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0]"
modify details on gold account,9,"[0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0]"
changing information on freemium account,9,"[0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0]"
modifying data on standard account,9,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
editing account,9,"[0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0]"
edit info on standard account,9,"[1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0]"
editing ddtails on Gold account,9,"[0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1]"
edit Premium account,9,"[0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0]"
updating data on freemium account,9,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
changing data on Premium account,9,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
"I need to edit my user, could I get some help?",9,"[0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0]"
correcting info on free account,9,"[1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0]"
correcting data on pro account,9,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
edit info o freemium account,9,"[1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 1]"
editing details on standard account,9,"[0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0]"
update premium account,9,"[0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0]"
change details on free account,9,"[0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0]"
edit account,9,"[0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0]"
editing info on premium account,9,"[1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0]"
changing information on pro account,9,"[0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0]"
correct info on gold account,9,"[1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0]"
update data on free account,9,"[0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0]"
edit information on platinum account,9,"[0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0]"
editing standard account,9,"[0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0]"
I need help asking for a compensation,10,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
reimbursing 1499 dollars,10,"[0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0]"
I do not know what I have to do to request a compensation,10,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0]"
i paid $160 for these item i need my money back,10,"[1, 0, 0, 0, 1, 1, 0, 1, 1, 0, 1]"
I need help to request a refund of money,10,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
where could I obtain bloody compensations of money?,10,"[0, 1, 1, 0, 1, 0, 1, 1, 1, 0, 0]"
I am trying to ask for a compensation of my money,10,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
would it be possible to demand refunds of my money?,10,"[0, 1, 0, 0, 1, 0, 1, 1, 1, 0, 0]"
reimburse $1200,10,"[0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0]"
i want assistance asking for refunds of my money,10,"[1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0]"
can uhelp me asking for a reimbursement of money,10,"[1, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0]"
I would like to get refunds of money,10,"[0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0]"
I don't know how to demand a goddamn restitution of my money,10,"[0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0]"
i paid 1499 dollars for thisorder help to get my money back,10,"[1, 0, 0, 0, 1, 1, 0, 1, 0, 0, 1]"
reimbvurse 1200 dollars,10,"[0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1]"
"I want to obtain a restitution of my money, I need help",10,"[0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0]"
how do I ask for a compensation?,10,"[0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0]"
reimburse $350,10,"[0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0]"
can you help me demanding a bloody restitution of my money?,10,"[0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0]"
can uhelp me receiving compensations of money,10,"[1, 0, 0, 0, 1, 0, 1, 1, 1, 0, 0]"
rebating $160,10,"[0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0]"
where do i demand a rebate of my money,10,"[1, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0]"
I don't know what I have to do to ask for a rebate of money,10,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
refunding$299,10,"[0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1]"
i want assistance requesting reimbursements,10,"[1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0]"
could you help me demand compensations of money?,10,"[0, 1, 0, 0, 1, 0, 1, 1, 1, 0, 0]"
where do i demand rebates of money,10,"[1, 0, 0, 0, 1, 0, 1, 1, 1, 0, 0]"
I need help asking for rebates of money,10,"[0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0]"
how do i ask for restitutions of my money,10,"[1, 0, 0, 0, 1, 0, 1, 1, 1, 0, 0]"
i dont know how to ask for compensatins of money,10,"[1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1]"
assistance obtaining reimbursements of money,10,"[0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0]"
where can i get my money back,10,"[1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0]"
I want help asking for a reimbursement of money,10,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
refund $1499,10,"[0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0]"
refunding $160,10,"[0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0]"
how to get a refund?,10,"[0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0]"
help me to obtain compensations of money,10,"[0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0]"
need help to obtain compensations,10,"[1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0]"
I need help to request compensations,10,"[0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0]"
i try to ask for restitutions of omney,10,"[1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1]"
reimburse 350 dollars,10,"[0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0]"
refunding 160 dollars,10,"[0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0]"
i paid $1499 for this item help getting a compensation,10,"[1, 0, 0, 0, 1, 1, 0, 1, 1, 0, 0]"
I want help receiving a rebate of money,10,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
"I have paid $160 for this order, I want a damn reimbursement",10,"[0, 0, 1, 0, 1, 1, 0, 1, 1, 1, 0]"
getting money back,10,"[0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0]"
reimburse $160,10,"[0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0]"
rebating $350,10,"[0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0]"
receive money back,10,"[0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0]"
assistance requesting rebates,10,"[0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0]"
refunding $1200,10,"[0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0]"
where do i request a reimbursement of my money,10,"[1, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0]"
can uhelp me obtaining compensations,10,"[1, 0, 0, 0, 1, 0, 1, 1, 1, 0, 0]"
"I want to receive a refund of my money, can you help me?",10,"[0, 0, 0, 0, 1, 1, 1, 0, 1, 0, 0]"
reimbursing 160 dollars,10,"[0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0]"
reimburse $1499,10,"[0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0]"
can ya help me demandkng a damn rebate,10,"[1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1]"
need assistance to get reimbursements of money,10,"[1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0]"
rebating 160 dollars,10,"[0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0]"
rebatingg $1200,10,"[0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1]"
how do i get refunds of money,10,"[1, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0]"
reimbvurse 350 dollars,10,"[0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1]"
how could I request a goddamn rebate of money?,10,"[0, 1, 1, 0, 1, 0, 1, 0, 1, 0, 0]"
need assistance to reqjest a refund of money,10,"[1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1]"
i have got to ask for rebates,10,"[1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0]"
i have paid $350 for these productsa help to get a refund,10,"[1, 0, 0, 0, 1, 1, 0, 1, 0, 1, 1]"
could ya help me obtaining reimbursements of money,10,"[1, 1, 0, 0, 1, 0, 1, 1, 1, 0, 0]"
refunding$1499,10,"[0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1]"
reimbvurse 160 dollars,10,"[0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1]"
I am trying to obtain a reimbursement of money,10,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
I do not know what to do to obtain reimbursements,10,"[0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0]"
i dont know what i need to do to receive reimbursements,10,"[1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0]"
i dont know how i could demznd goddamn compensations,10,"[1, 1, 1, 0, 1, 0, 0, 1, 1, 0, 1]"
I'm trying to demand a compensation of my money,10,"[1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
i paid $1499 for a item want help obtaining my money back,10,"[1, 0, 0, 0, 1, 1, 0, 1, 1, 0, 1]"
I need assistance getting a refund of money,10,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
"I have paid $160 for an order, I want a rebate",10,"[0, 0, 0, 0, 1, 1, 0, 1, 1, 1, 0]"
I do not know what to do to get a reimbursement of my money,10,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0]"
i have got to ask for a reimbursement of my money,10,"[1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
i want assistance to obtain a rebate of my money,10,"[1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
I want help asking for refunds of money,10,"[0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0]"
i want help to obtain a reimbursement of my money,10,"[1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
I need assistance to demand a reimbursement,10,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
i paid $299 for this product  how to receive a reimbursement,10,"[1, 0, 0, 0, 1, 1, 1, 1, 1, 0, 1]"
refund 160 dollars,10,"[0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0]"
i paid $350 for these  items help me obtaining my money back,10,"[1, 0, 0, 0, 1, 1, 0, 1, 1, 0, 1]"
I do not know whta to do to obtain compensations of my money,10,"[0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 1]"
what do I need to do to request compensations?,10,"[0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 0]"
I need assistance obtaining my money back,10,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
i paid $160 for an order where could ii get a reimbursement,10,"[1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 1]"
refunding 1200 dollars,10,"[0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0]"
rebate 350 dollars,10,"[0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0]"
how do I request a refund of my money?,10,"[0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0]"
i have to demand a rebate of my money,10,"[1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
help receiving reimbursements of my money,10,"[0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0]"
what do I have to do to get restitutions of my money?,10,"[0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 0]"
help me request a compensation of money,10,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
help me to request a rebate of my money,10,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
can you help me to get rebates of my money?,10,"[0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 0]"
how can I request a restitution of my money ?,10,"[0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1]"
I need assistance getting a reimbursement of money,10,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
refund 1200 dollars,10,"[0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0]"
how can i request compensations,10,"[1, 0, 0, 0, 1, 0, 1, 1, 1, 0, 0]"
want help demanding reimbursements,10,"[1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0]"
reimbvurse 1499 dollars,10,"[0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1]"
how can I get refunds?,10,"[0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0]"
need assistance asking for refunds,10,"[1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0]"
refunding$350,10,"[0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1]"
I do not know what I have to do to ask for compensations,10,"[0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0]"
how acn i obtain a compensation,10,"[1, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1]"
I want help to request reimbursements of my money,10,"[0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0]"
where do I get compensations of money?,10,"[0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 0]"
how can  i obtain compensations of my money,10,"[1, 0, 0, 0, 1, 0, 1, 1, 1, 0, 1]"
need assistance receiving a rebate of my money,10,"[1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
would it be possible to request reimbursements,10,"[1, 1, 0, 0, 1, 0, 1, 1, 1, 0, 0]"
"I have paid $160 for an article, I am trying to get a refund",10,"[0, 0, 0, 0, 1, 1, 0, 1, 1, 1, 0]"
i paid $1200 for this article i wana receive a rebate,10,"[1, 0, 0, 0, 1, 1, 0, 1, 1, 0, 1]"
I don't know how to demand a rebate,10,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
I'm trying to receive a compensation of my money,10,"[1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
rebating $1200,10,"[0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0]"
reinburse $299,10,"[0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1]"
how do i request rebates of money,10,"[1, 0, 0, 0, 1, 0, 1, 1, 1, 0, 0]"
refund $299,10,"[0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0]"
i paid $160 for this order isit possible to receive a refund,10,"[1, 0, 0, 0, 1, 1, 1, 1, 1, 0, 1]"
i need  help requesting a rebate of money,10,"[1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1]"
i try to demand a compensation,10,"[1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
rebatingg $299,10,"[0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1]"
i dont know how i can get a reimbursement of money,10,"[1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
I want assistance demanding reimbursements,10,"[0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0]"
i want assistance to receive a refund,10,"[1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
refunding 299 dollars,10,"[0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0]"
refunding$160,10,"[0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1]"
I don't know what I have to do to demand rebates of my money,10,"[0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0]"
getting refund of money,10,"[0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0]"
can you help me obtain a reimbursement?,10,"[0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0]"
reinburse $1499,10,"[0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1]"
i have to ask for a refund of my money,10,"[1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
want help to receive fucking rebates of money,10,"[1, 0, 1, 0, 1, 0, 0, 1, 1, 0, 0]"
i want help requesting restitutions of money,10,"[1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0]"
rebatingg $1499,10,"[0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1]"
"I paid $1499 for an item, need assistance obtaining a rebate",10,"[1, 0, 0, 0, 1, 1, 0, 1, 1, 0, 0]"
i do not know how to obtain refunds of my money,10,"[1, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0]"
refunding $299,10,"[0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0]"
is ti possible to receive refunds of my money?,10,"[0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 1]"
I want help to ask for a compensation of my money,10,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
I need to obtain compensations of money,10,"[0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0]"
how to receive rebates of my money,10,"[1, 0, 0, 0, 1, 0, 1, 1, 1, 0, 0]"
can ya help me getting a compensation of money,10,"[1, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0]"
what do i need to do to ask for a restitution of my money,10,"[1, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0]"
need assistance obtaining compensations,10,"[1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0]"
rebating $1499,10,"[0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0]"
where can i ask for a reimbursement  of money,10,"[1, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1]"
rebate $1499,10,"[0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0]"
"I have paid $160 for this purchase, help me get a rebate",10,"[0, 0, 0, 0, 1, 1, 0, 1, 1, 1, 0]"
where could I receive a compensation of money?,10,"[0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 0]"
what do I need to  do to request rebates?,10,"[0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 1]"
I am trying to obtain a fucking rebate of money,10,"[0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0]"
where to ask for a refund of my money?,10,"[0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0]"
rebate 1200 dollars,10,"[0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0]"
what do i need to do toget a reimbursement of my money,10,"[1, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1]"
i do not know what to do to demand reombursements of money,10,"[1, 0, 0, 0, 1, 0, 0, 1, 1, 1, 1]"
need to demand a refund of money,10,"[1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
where do I demand fucking compensations of my money?,10,"[0, 0, 1, 0, 1, 0, 1, 1, 1, 0, 0]"
want assistance to ask for a rebate,10,"[1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
refund $350,10,"[0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0]"
I don't know what to do to demand reimbursements of money,10,"[0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0]"
is it possible to obtain a reimbursement of money,10,"[1, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0]"
could you help me obtaining compensations?,10,"[0, 1, 0, 0, 1, 0, 1, 1, 1, 0, 0]"
assistance to obtain compensations of money,10,"[0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0]"
I don't know how I can receive a reimbursement of money,10,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
help me to ask for rebates,10,"[0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0]"
i need assistance obtaining a restitution of money,10,"[1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
reimburse 299 dollars,10,"[0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0]"
rebatingg $350,10,"[0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1]"
i want help requesting a refund of money,10,"[1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
reinburse $350,10,"[0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1]"
help me to obtain a reimbursement,10,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
requesting reimbursement of money,10,"[0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0]"
wanna ask for compensations of ym money,10,"[1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1]"
I want assistance to obtain a refund of my money,10,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
i paid $160 for this article where to receive a damn refund,10,"[1, 0, 1, 0, 1, 1, 1, 1, 1, 0, 0]"
I do not know how to demand compensations of my money,10,"[0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0]"
i do not know what i have to do to request compensations,10,"[1, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0]"
how to request a refund?,10,"[0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0]"
I'm trying to get rebates of money,10,"[1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0]"
request restitution of money,10,"[0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0]"
what do i have to do to ask for a compensation of money,10,"[1, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0]"
I want help obtaining a reimbursement,10,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
i dont know how to receive reimbursements of money,10,"[1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0]"
reabting 1499 dollars,10,"[0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1]"
reimburse 1499 dollars,10,"[0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0]"
getting refund,10,"[0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0]"
reimbursing 350 dollars,10,"[0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0]"
get refund,10,"[0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0]"
i paid $160 for this order assistance receiiving a refund,10,"[1, 0, 0, 0, 1, 1, 0, 1, 1, 0, 1]"
i have got to request goddamn erimbursements of my money,10,"[1, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1]"
"I paid 350 dollars for this order, I need my compensation",10,"[0, 0, 0, 0, 1, 1, 0, 1, 1, 0, 0]"
want help to demand refunds of money,10,"[1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0]"
reimburse 1200 dollars,10,"[0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0]"
how to demand rebates of money,10,"[1, 0, 0, 0, 1, 0, 1, 1, 1, 0, 0]"
help me receive compensations of money,10,"[0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0]"
i want help getting a reimbursement of money,10,"[1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
i do not know what i need to do to request a reimbursement,10,"[1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0]"
can uhelp me get a compensation,10,"[1, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0]"
I have to receive refunds,10,"[0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0]"
what do i need to do to request refunds of my money,10,"[1, 0, 0, 0, 1, 0, 1, 1, 1, 0, 0]"
can ya help me receive compensations of my money,10,"[1, 0, 0, 0, 1, 0, 1, 1, 1, 0, 0]"
I want to get reimbursements of money,10,"[0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0]"
i do not know how i can receive reimbursements of my money,10,"[1, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0]"
where can i obtain restitutions of my money,10,"[1, 0, 0, 0, 1, 0, 1, 1, 1, 0, 0]"
refund 350 dollars,10,"[0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0]"
receiving reimbursement,10,"[0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0]"
I don't nkow what I have to do to receive refunds,10,"[0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1]"
get refund of money,10,"[0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0]"
want help asking for reimbursements of my money,10,"[1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0]"
when am I receiving my compensation?,10,"[0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0]"
I don't know how I can get a restitution of my money,10,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
i need assistance to obtain a restitution of my money,10,"[1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
rebating $299,10,"[0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0]"
refund 1499 dollars,10,"[0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0]"
I don't know how I can request erfunds of my money,10,"[0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1]"
reimbursing 1200 dollars,10,"[0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0]"
reimbursing $350,10,"[0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0]"
refund $160,10,"[0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0]"
how can I get a reimbursement of money?,10,"[0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0]"
rebatingg $160,10,"[0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1]"
I try to demand a compensation,10,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]"
refunding 1499 dollars,10,"[0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0]"
need help to ask for compensations of my money,10,"[1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0]"
I don't know what I need to do to get my money back,10,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
I'm trying to request rebates of my money,10,"[1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0]"
"I have paid $160 for this item, I am trying to get a refund",10,"[0, 0, 0, 0, 1, 1, 0, 1, 1, 1, 0]"
I'd like to get my money back,10,"[1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
need help demanding reimbursements,10,"[1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0]"
rebating 350 dollars,10,"[0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0]"
obtain rrbate of money,10,"[0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 1]"
refunding 350 dollars,10,"[0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0]"
where to request compensations of money,10,"[1, 0, 0, 0, 1, 0, 1, 1, 1, 0, 0]"
i want assistance obtaining fucking restitutions of money,10,"[1, 0, 1, 0, 1, 0, 0, 1, 1, 0, 0]"
i want help requesting rebates of my money,10,"[1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0]"
i paid $160 for an article I'm tryimg to get my money back,10,"[1, 0, 0, 0, 1, 1, 0, 1, 1, 0, 1]"
how to request a compensation of money ?,10,"[0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1]"
can uhelp me request a compensation of my money,10,"[1, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0]"
